date_time,RME_176,RMESP
1998-01-27 22:00:00,433.46,429.79
1998-01-27 23:00:00,422.54,418.96
1998-01-28 00:00:00,422.54,422.54
1998-01-28 01:00:00,404.91,398.05
1998-01-28 02:00:00,422.54,415.41
1998-01-28 03:00:00,418.96,398.05
1998-01-28 04:00:00,415.41,371.64
1998-01-28 05:00:00,415.41,349.86
1998-01-28 06:00:00,408.38,384.64
1998-01-28 07:00:00,429.79,387.95
1998-01-28 08:00:00,440.87,371.64
1998-01-28 09:00:00,415.41,384.64
1998-01-28 10:00:00,415.41,387.95
1998-01-28 11:00:00,411.88,401.46
1998-01-28 12:00:00,444.63,448.41
1998-01-28 13:00:00,452.22,459.93
1998-01-28 14:00:00,475.71,517.34
